Foundation type (group),Project Name,Status,Total Project Capacity,Year awarded (group),Commissioning date,Distance To Shore Average,Number Of Turbines,Owner,Status,To_Show_Turbine_Manufacturer,Total Project Capacity,Water Depth Average,GIS Latitude,GIS Longitude
Monopile,Walney 3 (Extension Phase 2 - East),Online,329,2017,2018,15,47,Ørsted & PFA & PKA,Online,Siemens Gamesa,329,21,54.088,-3.738
Monopile,Sheringham Shoal,Online,316.8,Unknown,2012,22,88,Equinor & Equitix & Macquarie Capital & The Renewables Infrastructure Group (TRIG),Online,SIEMENS Wind Power A/S,316.8,18.5,53.1345,1.1474
Monopile,Borkum Riffgrund I,Online,312,Unknown,2015,44.5,78,Greencoat Renewables & Kirbi (LEGO) & Ørsted & Oticon,Online,SIEMENS Wind Power A/S,312,26,53.967,6.554
Monopile,Rentel,Online,308.7,Unknown,2018,34,42,Aspiravi & DEME NV & Elicio & Power at Sea & Rent a Port & Socofe & SRIW & Z-Kracht,Online,Siemens Gamesa,308.7,29,51.591,2.945
Monopile,Amrumbank West,Online,302.4,Unknown,2015,35,80,RWE,Online,SIEMENS Wind Power,302.4,23,54.522,7.71
Jacket & Monopile,EnBW Baltic 2,Online,300.6,Unknown,2015,32,80,EnBW & Macquarie Capital,Online,SIEMENS Wind Power A/S,300.6,34.5,54.982,13.162
Monopile,Thanet,Online,300,Unknown,2010,7.75,100,Vattenfall,Online,MHI Vestas Offshore Wind,300,22.5,51.4306,1.6331
Jacket,Thornton Bank II + III,Online,295.2,Unknown,2013,28.5,48,DEME NV & EDF Renouvelables & Marguerite Fund & Nuhma & RWE & Société régionale d'investissement de Wallonie & Socofe,Online,Senvion,295.2,21,51.556,2.969
Jacket,Nordsee Ost,Online,295.2,Unknown,2015,22.5,48,RWE,Online,Senvion,295.2,21.5,54.444,7.682
Monopile,Sandbank,Online,288,Unknown,2017,95,72,Stadwerke München & Vattenfall,Online,SIEMENS Wind Power A/S,288,33,55.193,6.859
Monopile,Meerwind Süd & OSt,Online,288,Unknown,2015,35,80,China Three Gorges & China Yangtze Power & Windland Energieerzeugungs,Online,SIEMENS Wind Power A/S,288,24,54.392,7.704
Monopile,DanTysk,Online,288,Unknown,2015,70,80,Stadwerke München & Vattenfall,Online,SIEMENS Wind Power A/S,288,27,55.137,7.2
Monopile,Butendiek,Online,288,Unknown,2015,32,80,CDC Infrastructure & ewz & Industriens Pensions & Itochu & Marguerite Fund & Siemens & Skyborn Renewables,Online,SIEMENS Wind Power A/S,288,20.5,55.019,7.774
Monopile,Lincs,Online,270,Unknown,2013,8,75,Centrica & Ørsted & Siemens,Online,SIEMENS Wind Power A/S,270,24.5,53.1915,0.4913
Monopile,Deutsche Bucht,Online,260.4,Unknown,2019,92,31,Northland Power,Online,MHI Vestas Offshore Wind,260.4,40,54.305,5.799
Monopile,Burbo Bank extension,Online,258,2014,2017,10,32,Greencoat UK Wind & Kirbi (LEGO) & Ørsted,Online,MHI Vestas Offshore Wind,258,8.5,53.483,-3.273
Monopile,Seamade (Seastar),Online,252,Unknown,2020,40,30,Aspiravi & DEME NV & Elicio & Eneco & Ocean Winds & Power at Sea & Rent a Port & Socofe,Online,Siemens Gamesa,252,30,51.632,2.86
Monopile,Gode Wind II,Online,252,Unknown,2016,80,42,Industriens Pensions & Laegernes Pensionkasse & Laerernes Pension & Ørsted & PKA,Online,SIEMENS Wind Power A/S,252,31,54.041,6.994
Monopile,Seamade (Mermaid),Online,235.2,Unknown,2020,54,28,Aspiravi & DEME NV & Elicio & Eneco & Ocean Winds & Power at Sea & Rent a Port & Socofe,Online,Siemens Gamesa,235.2,32,51.718,2.739
